timestamp,active_minutes
2026-03-01 08:00:00,65
2026-03-02 08:00:00,70
2026-03-03 08:00:00,75
2026-03-04 08:00:00,80
2026-03-05 08:00:00,85
2026-03-06 08:00:00,90
2026-03-07 08:00:00,70
2026-03-08 08:00:00,88
2026-03-09 08:00:00,92
2026-03-10 08:00:00,95
2026-03-11 08:00:00,100
2026-03-12 08:00:00,105
2026-03-13 08:00:00,85
2026-03-14 08:00:00,110
2026-03-15 08:00:00,115
2026-03-16 08:00:00,120
2026-03-17 08:00:00,125
2026-03-18 08:00:00,130
2026-03-19 08:00:00,100
2026-03-20 08:00:00,135
2026-03-21 08:00:00,140
2026-03-22 08:00:00,145
2026-03-23 08:00:00,150
2026-03-24 08:00:00,155
2026-03-25 08:00:00,120
2026-03-26 08:00:00,160
2026-03-27 08:00:00,165
2026-03-28 08:00:00,170
2026-03-29 08:00:00,175
2026-03-30 08:00:00,180
