timestamp,carotenoid_index
2026-03-01 08:00:00,0.60
2026-03-02 08:00:00,0.62
2026-03-03 08:00:00,0.64
2026-03-04 08:00:00,0.66
2026-03-05 08:00:00,0.68
2026-03-06 08:00:00,0.70
2026-03-07 08:00:00,0.65
2026-03-08 08:00:00,0.72
2026-03-09 08:00:00,0.74
2026-03-10 08:00:00,0.76
2026-03-11 08:00:00,0.78
2026-03-12 08:00:00,0.80
2026-03-13 08:00:00,0.75
2026-03-14 08:00:00,0.82
2026-03-15 08:00:00,0.84
2026-03-16 08:00:00,0.86
2026-03-17 08:00:00,0.88
2026-03-18 08:00:00,0.90
2026-03-19 08:00:00,0.85
2026-03-20 08:00:00,0.92
2026-03-21 08:00:00,0.94
2026-03-22 08:00:00,0.96
2026-03-23 08:00:00,0.98
2026-03-24 08:00:00,1.00
2026-03-25 08:00:00,0.95
2026-03-26 08:00:00,1.02
2026-03-27 08:00:00,1.04
2026-03-28 08:00:00,1.06
2026-03-29 08:00:00,1.08
2026-03-30 08:00:00,1.10
