timestamp,calories
2026-03-01 08:00:00,520
2026-03-02 08:00:00,540
2026-03-03 08:00:00,560
2026-03-04 08:00:00,580
2026-03-05 08:00:00,600
2026-03-06 08:00:00,620
2026-03-07 08:00:00,580
2026-03-08 08:00:00,610
2026-03-09 08:00:00,630
2026-03-10 08:00:00,650
2026-03-11 08:00:00,670
2026-03-12 08:00:00,690
2026-03-13 08:00:00,660
2026-03-14 08:00:00,700
2026-03-15 08:00:00,720
2026-03-16 08:00:00,740
2026-03-17 08:00:00,760
2026-03-18 08:00:00,780
2026-03-19 08:00:00,750
2026-03-20 08:00:00,790
2026-03-21 08:00:00,810
2026-03-22 08:00:00,830
2026-03-23 08:00:00,850
2026-03-24 08:00:00,870
2026-03-25 08:00:00,840
2026-03-26 08:00:00,860
2026-03-27 08:00:00,880
2026-03-28 08:00:00,900
2026-03-29 08:00:00,920
2026-03-30 08:00:00,940
